"Jak oceniasz swoją ogólną wiedzę o suplementach diety? Skala 1–5 (1 – bardzo niska, 5 – bardzo wysoka)";"Jak oceniasz swoją wiedzę na temat bezpieczeństwa suplementacji? Skala 1–5";"Jak oceniasz swoją wiedzę na temat interakcji suplementów z lekami?";"Suplement diety to:";"Czy suplementy muszą przechodzić badania kliniczne przed wprowadzeniem na rynek?";"Nadmierne spożycie witaminy D może prowadzić do:";"Kto odpowiada za bezpieczeństwo suplementów diety?";"Czy suplementy mogą wchodzić w interakcje z lekami?";"Czy suplementy mogą zawierać składniki w ilościach przekraczających zapotrzebowanie?"
"4";"3";"3";"Preparat o udowodnionym działaniu terapeutycznym";"Tak";"Uszkodzenia nerek";"Producent";"Tak";"Tak"
"3";"4";"3";"Środek spożywczy uzupełniający dietę";"Nie wiem";"Brak skutków ubocznych";"Producent";"Nie wiem";"Nie wiem"
"4";"3";"3";"Środek spożywczy uzupełniający dietę";"Tak";"Uszkodzenia nerek";"Producent";"Tak";"Nie"
"5";"5";"5";"Środek spożywczy uzupełniający dietę";"Nie";"Uszkodzenia nerek";"Producent";"Tak";"Tak"
"3";"3";"3";"Środek spożywczy uzupełniający dietę";"Tak";"Nie wiem";"Nie wiem";"Tak";"Tylko minerały"
"2";"2";"2";"Środek spożywczy uzupełniający dietę";"Tak";"Uszkodzenia nerek";"Sanepid bada każdy produkt przed sprzedażą";"Tak";"Tak"
"2";"2";"2";"Środek spożywczy uzupełniający dietę";"Tylko niektóre";"Nie wiem";"Ministerstwo Zdrowia";"Tak";"Nie wiem"
"1";"2";"1";"Środek spożywczy uzupełniający dietę";"Tak";"Nie wiem";"Producent";"Tak";"Nie wiem"
"2";"3";"4";"Produkt leczniczy";"Tak";"Uszkodzenia nerek";"Producent";"Tak";"Tak"
"2";"2";"1";"Preparat o udowodnionym działaniu terapeutycznym";"Tak";"Brak skutków ubocznych";"Ministerstwo Zdrowia";"Nie wiem";"Nie wiem"
"4";"4";"3";"Środek spożywczy uzupełniający dietę";"Nie";"Brak skutków ubocznych";"Producent";"Tak";"Tak"
"3";"3";"2";"Środek spożywczy uzupełniający dietę";"Tak";"Nie wiem";"Producent";"Tak";"Tak"
