"Skąd czerpiesz informacje o suplementach?";"W jakiej formie najchętniej zdobywał(a)byś rzetelną wiedzę o suplementach?";"Które źródło uznał(a)byś za najbardziej wiarygodne?";"Co mogłoby zachęcić Cię do zdobywania wiedzy o suplementach?"
"Internet (artykuły blogi),Lekarz,Dietetyk";"Krótkie filmy edukacyjne,Infografiki,Posty na Instagramie/TikToku";"Lekarz";"Ciekawość"
"Internet (artykuły blogi),Znajomi/rodzina";"Podcasty,Posty na Instagramie/TikToku";"Naukowe portale internetowe";"Rzetelne informacje"
"Internet (artykuły blogi),Lekarz";"Krótkie filmy edukacyjne,Posty na Instagramie/TikToku";"Lekarz";"Brak"
"Reklamy,Znajomi/rodzina";"Konsultacje z farmaceutą";"Dietetyk";"Rzetelne informacje"
"Media społecznościowe,Dietetyk,Farmaceuta";"Podcasty,Warsztaty na uczelni,Konsultacje z farmaceutą";"Dietetyk";"Lepsza edukacja"
"Dietetyk,Znajomi/rodzina";"Krótkie filmy edukacyjne,Infografiki,Warsztaty na uczelni,Artykuły popularnonaukowe";"Instytucje zdrowia publicznego";"Lepsza edukacja"
"Internet (artykuły blogi),Lekarz,Dietetyk,Znajomi/rodzina";"Warsztaty na uczelni,Konsultacje z farmaceutą";"Instytucje zdrowia publicznego";"Brak"
"Internet (artykuły blogi),Lekarz,Dietetyk,Książki";"Krótkie filmy edukacyjne,Infografiki,Podcasty,Warsztaty na uczelni,Konsultacje z farmaceutą,Posty na Instagramie/TikToku,Artykuły popularnonaukowe";"Instytucje zdrowia publicznego";"Ciekawość"
"Internet (artykuły blogi),Lekarz";"Infografiki,Warsztaty na uczelni";"Naukowe portale internetowe";"Brak"
"Internet (artykuły blogi),Media społecznościowe";"Podcasty,Warsztaty na uczelni,Artykuły popularnonaukowe,Specjalistyczne szkolenia,Webinary edukacyjne";"Naukowe portale internetowe";"Brak"
"Dietetyk";"Artykuły popularnonaukowe";"Instytucje zdrowia publicznego";"Chęć zadbania o zdrowie"
"Lekarz,Dietetyk,Badania naukowe";"Artykuły popularnonaukowe";"Naukowe portale internetowe";"Więcej czasu"
"Internet (artykuły blogi),Dietetyk,Badania naukowe";"Krótkie filmy edukacyjne,Warsztaty na uczelni";"Badania naukowe";"Więcej czasu"
"Internet (artykuły blogi),Media społecznościowe,Dietetyk";"Krótkie filmy edukacyjne,Podcasty,Warsztaty na uczelni,Artykuły popularnonaukowe";"Dietetyk";"Badania naukowe"
"Internet (artykuły blogi),Dietetyk";"Krótkie filmy edukacyjne,Infografiki,Konsultacje z farmaceutą";"Dietetyk";"Ciekawość"
"Dietetyk,Farmaceuta,Znajomi/rodzina";"Warsztaty na uczelni,Konsultacje z farmaceutą,Posty na Instagramie/TikToku,Artykuły popularnonaukowe";"Instytucje zdrowia publicznego";"Lepsza edukacja"
"Dietetyk";"Infografiki,Podcasty";"Dietetyk";"Brak"
"Internet (artykuły blogi),Lekarz,Dietetyk,Znajomi/rodzina";"Infografiki,Konsultacje z farmaceutą";"Lekarz";"Rzetelne informacje"
"Internet (artykuły blogi),Dietetyk,Znajomi/rodzina";"Krótkie filmy edukacyjne,Warsztaty na uczelni,Konsultacje z farmaceutą";"Dietetyk";"Chęć zadbania o zdrowie"
"Internet (artykuły blogi),Reklamy,Dietetyk";"Krótkie filmy edukacyjne,Warsztaty na uczelni,Artykuły popularnonaukowe";"Dietetyk";"Brak"
"Dietetyk";"Krótkie filmy edukacyjne,Podcasty";"Naukowe portale internetowe";"Brak"
"Internet (artykuły blogi),Media społecznościowe,Reklamy,Dietetyk";"Krótkie filmy edukacyjne,Warsztaty na uczelni,Posty na Instagramie/TikToku";"Dietetyk";"Nagrania edukacyjne"
"Lekarz";"Krótkie filmy edukacyjne";"Lekarz";"Brak"
"Internet (artykuły blogi)";"Artykuły popularnonaukowe";"Naukowe portale internetowe";"Rzetelne informacje"
"Internet (artykuły blogi)";"Krótkie filmy edukacyjne,Infografiki,Podcasty,Posty na Instagramie/TikToku,Artykuły popularnonaukowe";"Lekarz";"Ciekawość"
"Dietetyk,PubMed";"Krótkie filmy edukacyjne,Infografiki";"Farmaceuta";"Rzetelne informacje"
"Dietetyk,Badania naukowe,Studia";"Podcasty,Warsztaty na uczelni,Artykuły popularnonaukowe";"Lekarz";"Ciekawość"
"Internet (artykuły blogi)";"Podcasty,Warsztaty na uczelni,Konsultacje z farmaceutą,Artykuły popularnonaukowe";"Farmaceuta";"Brak"
"Internet (artykuły blogi),Media społecznościowe,Dietetyk";"Krótkie filmy edukacyjne,Infografiki";"Naukowe portale internetowe";"Chęć zadbania o zdrowie"
"Lekarz";"Warsztaty na uczelni";"Lekarz";"Rzetelne informacje"
"Lekarz,Książki";"Artykuły popularnonaukowe";"Naukowe portale internetowe";"Więcej czasu"
"Internet (artykuły blogi),Media społecznościowe,Lekarz,Dietetyk";"Krótkie filmy edukacyjne,Warsztaty na uczelni,Artykuły popularnonaukowe";"Lekarz";"Brak"
"Internet (artykuły blogi),Media społecznościowe,Dietetyk,Znajomi/rodzina";"Warsztaty na uczelni,Konsultacje z farmaceutą,Posty na Instagramie/TikToku";"Dietetyk";"Rzetelne informacje"
"Internet (artykuły blogi)";"Krótkie filmy edukacyjne,Posty na Instagramie/TikToku";"Instytucje zdrowia publicznego";"Chęć zadbania o zdrowie"
"Internet (artykuły blogi),Lekarz";"Krótkie filmy edukacyjne,Infografiki,Warsztaty na uczelni,Konsultacje z farmaceutą,Posty na Instagramie/TikToku";"Instytucje zdrowia publicznego";"Rzetelne informacje"
"Farmaceuta";"Krótkie filmy edukacyjne,Posty na Instagramie/TikToku";"Lekarz";"Brak"
"Media społecznościowe";"Podcasty,Posty na Instagramie/TikToku";"Naukowe portale internetowe";"Rzetelne informacje"
"Internet (artykuły blogi),Lekarz";"Krótkie filmy edukacyjne,Warsztaty na uczelni,Konsultacje z farmaceutą";"Lekarz";"Lepsza edukacja"
"Internet (artykuły blogi),Lekarz,Dietetyk,Farmaceuta";"Krótkie filmy edukacyjne,Infografiki,Podcasty,Warsztaty na uczelni,Konsultacje z farmaceutą,Posty na Instagramie/TikToku,Artykuły popularnonaukowe";"Dietetyk";"Ciekawość"
"Internet (artykuły blogi),Reklamy,Dietetyk,Farmaceuta";"Krótkie filmy edukacyjne,Warsztaty na uczelni,Konsultacje z farmaceutą,Dietetyk";"Instytucje zdrowia publicznego";"Chęć zadbania o zdrowie"
"Internet (artykuły blogi),Media społecznościowe,Znajomi/rodzina";"Krótkie filmy edukacyjne,Infografiki,Podcasty,Warsztaty na uczelni";"Lekarz";"Lepsza edukacja"
"Internet (artykuły blogi),Lekarz,Dietetyk,Farmaceuta";"Krótkie filmy edukacyjne,Infografiki,Warsztaty na uczelni,Artykuły popularnonaukowe";"Instytucje zdrowia publicznego";"Lepsza edukacja"
"Internet (artykuły blogi),Znajomi/rodzina";"Krótkie filmy edukacyjne,Warsztaty na uczelni,Artykuły popularnonaukowe";"Farmaceuta";"Lepsza edukacja"
"Media społecznościowe,Farmaceuta,Znajomi/rodzina";"Krótkie filmy edukacyjne,Infografiki,Podcasty,Konsultacje z farmaceutą";"Farmaceuta";"Konsultacja ze specjalistą"
"Internet (artykuły blogi),Dietetyk,Farmaceuta,Znajomi/rodzina";"Krótkie filmy edukacyjne,Konsultacje z farmaceutą,Posty na Instagramie/TikToku,Artykuły popularnonaukowe";"Dietetyk";"Lepsza edukacja"
"Internet (artykuły blogi),Media społecznościowe,Lekarz,Dietetyk";"Infografiki,Posty na Instagramie/TikToku,Artykuły popularnonaukowe";"Dietetyk";"Chęć zadbania o zdrowie"
"Media społecznościowe,Znajomi/rodzina";"Krótkie filmy edukacyjne,Posty na Instagramie/TikToku";"Lekarz";"Lepsza edukacja"
"Lekarz,Dietetyk";"Krótkie filmy edukacyjne,Podcasty,Warsztaty na uczelni,Artykuły naukowe";"Dietetyk";"Rzetelne informacje"
"Internet (artykuły blogi),Farmaceuta,Znajomi/rodzina";"Krótkie filmy edukacyjne,Posty na Instagramie/TikToku,Artykuły popularnonaukowe";"Lekarz";"Chęć zadbania o zdrowie"
"Internet (artykuły blogi),Farmaceuta";"Infografiki,Warsztaty na uczelni";"Dietetyk";"Rzetelne informacje"
"Internet (artykuły blogi),Media społecznościowe,Farmaceuta,Znajomi/rodzina";"Krótkie filmy edukacyjne,Infografiki,Konsultacje z farmaceutą,Posty na Instagramie/TikToku";"Farmaceuta";"Nagrania edukacyjne"
"Znajomi/rodzina";"Krótkie filmy edukacyjne,Warsztaty na uczelni,Posty na Instagramie/TikToku,Artykuły popularnonaukowe";"Farmaceuta";"Materiały edukacyjne"
"Internet (artykuły blogi),Media społecznościowe,Reklamy,Lekarz";"Konsultacje z farmaceutą,Artykuły popularnonaukowe";"Lekarz";"Rzetelne informacje"
"Internet (artykuły blogi),Media społecznościowe,Reklamy";"Krótkie filmy edukacyjne,Podcasty,Posty na Instagramie/TikToku";"Naukowe portale internetowe";"Ciekawość"
"Dietetyk,Interesuję się ziołami i jestem członkiem grupy stosującej nutraceutyki Arbonne";"Warsztaty na uczelni,Konsultacje z farmaceutą";"Takie, którego polecenia nie wynikają z profitów jakie otrzymują";"Lepsza edukacja"
"Media społecznościowe,Znajomi/rodzina";"Krótkie filmy edukacyjne,Infografiki";"Dietetyk";"Chęć zadbania o zdrowie"
"Internet (artykuły blogi),Lekarz,Farmaceuta,Znajomi/rodzina";"Krótkie filmy edukacyjne";"Lekarz";"Rzetelne informacje"
"Internet (artykuły blogi)";"Konsultacje z farmaceutą,Posty na Instagramie/TikToku";"Instytucje zdrowia publicznego";"Ciekawość"
"Media społecznościowe,Znajomi/rodzina";"Infografiki,Warsztaty na uczelni";"Farmaceuta";"Lepsza edukacja"
