"Płeć";"Wiek";"Kierunek studiów";"Rok studiów";"Jak często uprawiasz aktywność fizyczną?"
"Mężczyzna";"< 20";"Psychologia";"I";"Rzadziej niż raz w tygodniu"
"Kobieta";">25";"Psychologia";"IV";"Rzadziej niż raz w tygodniu"
"Kobieta";">25";"Psychologia";"IV";"Rzadziej niż raz w tygodniu"
"Kobieta";"23–25";"Psychologia";"IV";"1–2 razy w tygodniu"
"Kobieta";">25";"Psychologia";"IV";"1–2 razy w tygodniu"
"Kobieta";">25";"Psychologia";"IV";"5 lub więcej razy w tygodniu"
"Kobieta";"< 20";"Psychologia";"IV";"5 lub więcej razy w tygodniu"
"Kobieta";">25";"Psychologia";"IV";"1–2 razy w tygodniu"
"Kobieta";"23–25";"Psychologia";"III";"1–2 razy w tygodniu"
"Mężczyzna";">25";"Psychologia";"IV";"5 lub więcej razy w tygodniu"
"Kobieta";">25";"Psychologia";"IV";"Rzadziej niż raz w tygodniu"
"Kobieta";"23–25";"Psychologia";"IV";"1–2 razy w tygodniu"
"Kobieta";">25";"Psychologia";"III";"Rzadziej niż raz w tygodniu"
"Kobieta";">25";"Psychologia";"IV";"Rzadziej niż raz w tygodniu"
"Kobieta";">25";"Psychologia";"III";"3–4 razy w tygodniu"
"Kobieta";"23–25";"Psychologia";"III";"1–2 razy w tygodniu"
"Kobieta";"23–25";"Psychologia";"III";"3–4 razy w tygodniu"
"Kobieta";">25";"Psychologia";"IV";"Rzadziej niż raz w tygodniu"
"Kobieta";">25";"Psychologia";"II";"3–4 razy w tygodniu"
"Kobieta";">25";"Psychologia";"IV";"3–4 razy w tygodniu"
"Kobieta";">25";"Psychologia";"IV";"Rzadziej niż raz w tygodniu"
"Kobieta";">25";"Psychologia";"V";"3–4 razy w tygodniu"
"Kobieta";"23–25";"Psychologia";"IV";"1–2 razy w tygodniu"
"Mężczyzna";">25";"Psychologia";"IV";"5 lub więcej razy w tygodniu"
"Kobieta";"23–25";"Psychologia";"IV";"Rzadziej niż raz w tygodniu"
"Kobieta";">25";"Psychologia";"IV";"3–4 razy w tygodniu"
"Kobieta";">25";"Psychologia";"IV";"3–4 razy w tygodniu"
"Kobieta";"23–25";"Psychologia";"IV";"1–2 razy w tygodniu"
"Kobieta";">25";"Psychologia";"IV";"1–2 razy w tygodniu"
"Kobieta";">25";"Psychologia";"IV";"Rzadziej niż raz w tygodniu"
"Kobieta";"23–25";"Psychologia kliniczna ";"IV";"1–2 razy w tygodniu"
"Kobieta";">25";"Psychologia kliniczna i psychoterapia";"I";"1–2 razy w tygodniu"
"Kobieta";"23–25";"Psychologia kliniczna i psychoterapia";"IV";"1–2 razy w tygodniu"
"Kobieta";">25";"Psychologia, Prawo";"IV";"Rzadziej niż raz w tygodniu"
